tv_id,smuggle_url,success,rst,blockpage,timeout_afterhs,timeout_beforehs,other,cn_success_rate
TE-e9-XX-XX-e9-TE.CL,www.uyghurnet.org/,2,82,0,16,0,0,0.02
TE-8d-XX-8d-XX-TE.CL,www.uyghurnet.org/,2,77,0,21,0,0,0.02
CL-XX-87-XX-87-CL.TE,freetibet.org/,2,76,0,22,0,0,0.02
CL-XX-a2-a2-XX-CL.TE,www.uyghurnet.org/,2,77,0,21,0,0,0.02
CL-midspace-08-CL.TE,freetibet.org/,2,73,0,25,0,0,0.02
TE-XX-c2-c2-XX-TE.CL,www.uyghurnet.org/,2,74,0,24,0,0,0.02
CL-a4-XX-XX-a4-CL.TE,www.uyghurnet.org/,2,71,0,27,0,0,0.02
TE-1f-1f-XX-XX-TE.CL,www.uyghurnet.org/,2,75,0,23,0,0,0.02
TE-94-XX-94-XX-TE.CL,www.uyghurnet.org/,2,77,0,21,0,0,0.02
CL-XX-0b-0b-XX-CL.TE,freetibet.org/,2,75,0,23,0,0,0.02
CL-midspace-0c-CL.TE,freetibet.org/,2,71,0,27,0,0,0.02
TE-8b-XX-8b-XX-TE.CL,freetibet.org/,2,77,0,21,0,0,0.02
CL-XX-b0-XX-b0-CL.TE,www.uyghurnet.org/,2,74,0,24,0,0,0.02
TE-15-XX-15-XX-TE.CL,www.uyghurnet.org/,2,69,0,29,0,0,0.02
CL-XX-XX-05-05-CL.TE,www.uyghurnet.org/,2,71,0,27,0,0,0.02
CL-XX-bf-bf-XX-CL.TE,freetibet.org/,2,73,0,25,0,0,0.02
CL-endspacex-1f-CL.TE,freetibet.org/,2,78,0,20,0,0,0.02
TE-smashed-TE.CL,freetibet.org/,2,71,0,27,0,0,0.02
CL-a5-a5-XX-XX-CL.TE,freetibet.org/,2,73,0,25,0,0,0.02
TE-9a-XX-XX-9a-TE.CL,freetibet.org/,2,68,0,30,0,0,0.02
TE-1b-1b-XX-XX-TE.CL,freetibet.org/,2,71,0,27,0,0,0.02
CL-XX-0f-0f-XX-CL.TE,freetibet.org/,2,74,0,24,0,0,0.02
TE-8f-8f-XX-XX-TE.CL,www.uyghurnet.org/,2,73,0,25,0,0,0.02
CL-02-02-XX-XX-CL.TE,freetibet.org/,2,79,0,19,0,0,0.02
TE-8b-XX-XX-8b-TE.CL,www.uyghurnet.org/,2,71,0,27,0,0,0.02
CL-b5-XX-XX-b5-CL.TE,freetibet.org/,2,74,0,24,0,0,0.02
CL-bb-XX-bb-XX-CL.TE,www.uyghurnet.org/,2,75,0,23,0,0,0.02
CL-XX-XX-cf-cf-CL.TE,www.uyghurnet.org/,2,70,0,28,0,0,0.02
CL-d2-d2-XX-XX-CL.TE,www.uyghurnet.org/,2,69,0,29,0,0,0.02
TE-XX-12-XX-12-TE.CL,www.uyghurnet.org/,2,72,0,26,0,0,0.02
TE-xprespace-04-TE.CL,freetibet.org/,2,68,0,30,0,0,0.02
CL-XX-XX-fd-fd-CL.TE,www.uyghurnet.org/,2,75,0,23,0,0,0.02
CL-b6-XX-b6-XX-CL.TE,www.uyghurnet.org/,2,76,0,22,0,0,0.02
CL-XX-de-XX-de-CL.TE,freetibet.org/,2,73,0,25,0,0,0.02
CL-XX-82-82-XX-CL.TE,www.uyghurnet.org/,2,67,0,31,0,0,0.02
TE-XX-9e-XX-9e-TE.CL,www.uyghurnet.org/,2,79,0,19,0,0,0.02
CL-XX-7f-7f-XX-CL.TE,freetibet.org/,2,73,0,25,0,0,0.02
CL-XX-b8-b8-XX-CL.TE,freetibet.org/,2,72,0,26,0,0,0.02
CL-XX-8d-XX-8d-CL.TE,freetibet.org/,2,69,0,29,0,0,0.02
CL-86-XX-86-XX-CL.TE,www.uyghurnet.org/,2,75,0,23,0,0,0.02
CL-XX-XX-d4-d4-CL.TE,freetibet.org/,2,75,0,23,0,0,0.02
CL-XX-11-11-XX-CL.TE,freetibet.org/,2,69,0,29,0,0,0.02
CL-XX-XX-fa-fa-CL.TE,freetibet.org/,2,65,0,33,0,0,0.02
CL-XX-08-XX-08-CL.TE,www.uyghurnet.org/,2,75,0,23,0,0,0.02
CL-08-08-XX-XX-CL.TE,freetibet.org/,2,78,0,20,0,0,0.02
CL-XX-c0-XX-c0-CL.TE,www.uyghurnet.org/,2,67,0,31,0,0,0.02
TE-e3-XX-XX-e3-TE.CL,www.uyghurnet.org/,2,74,0,24,0,0,0.02
TE-XX-85-XX-85-TE.CL,freetibet.org/,2,77,0,21,0,0,0.02
CL-d8-d8-XX-XX-CL.TE,www.uyghurnet.org/,2,72,0,26,0,0,0.02
TE-99-XX-99-XX-TE.CL,freetibet.org/,2,84,0,14,0,0,0.02
CL-c5-XX-c5-XX-CL.TE,www.uyghurnet.org/,2,74,0,24,0,0,0.02
CL-b0-XX-b0-XX-CL.TE,freetibet.org/,2,74,0,24,0,0,0.02
TE-XX-92-XX-92-TE.CL,www.uyghurnet.org/,2,76,0,22,0,0,0.02
TE-rxprespace-20-TE.CL,www.uyghurnet.org/,2,69,0,29,0,0,0.02
CL-fe-XX-XX-fe-CL.TE,www.uyghurnet.org/,2,75,0,23,0,0,0.02
TE-09-XX-XX-09-TE.CL,www.uyghurnet.org/,2,74,0,24,0,0,0.02
CL-XX-1b-1b-XX-CL.TE,freetibet.org/,2,76,0,22,0,0,0.02
CL-XX-XX-c5-c5-CL.TE,freetibet.org/,2,67,0,31,0,0,0.02
CL-0e-XX-0e-XX-CL.TE,www.uyghurnet.org/,2,66,0,32,0,0,0.02
TE-XX-ea-XX-ea-TE.CL,freetibet.org/,2,75,0,23,0,0,0.02
CL-XX-c5-c5-XX-CL.TE,freetibet.org/,2,78,0,20,0,0,0.02
TE-07-XX-07-XX-TE.CL,www.uyghurnet.org/,2,75,0,23,0,0,0.02
TE-XX-cd-XX-cd-TE.CL,www.uyghurnet.org/,2,74,0,24,0,0,0.02
CL-e8-XX-XX-e8-CL.TE,freetibet.org/,2,73,0,25,0,0,0.02
CL-af-af-XX-XX-CL.TE,freetibet.org/,2,71,0,27,0,0,0.02
CL-XX-14-XX-14-CL.TE,freetibet.org/,2,72,0,26,0,0,0.02
CL-endspacex-09-CL.TE,www.uyghurnet.org/,2,75,0,23,0,0,0.02
CL-96-96-XX-XX-CL.TE,www.uyghurnet.org/,2,71,0,27,0,0,0.02
CL-7f-XX-XX-7f-CL.TE,freetibet.org/,2,75,0,23,0,0,0.02
CL-fb-XX-fb-XX-CL.TE,freetibet.org/,2,78,0,20,0,0,0.02
TE-7f-XX-XX-7f-TE.CL,www.uyghurnet.org/,2,78,0,20,0,0,0.02
TE-rxprespace-20-TE.CL,freetibet.org/,2,67,0,31,0,0,0.02
TE-a4-a4-XX-XX-TE.CL,www.uyghurnet.org/,2,78,0,20,0,0,0.02
CL-eb-XX-XX-eb-CL.TE,freetibet.org/,2,71,0,27,0,0,0.02
CL-ec-XX-ec-XX-CL.TE,freetibet.org/,2,76,0,22,0,0,0.02
CL-XX-10-XX-10-CL.TE,www.uyghurnet.org/,2,70,0,28,0,0,0.02
CL-97-XX-97-XX-CL.TE,freetibet.org/,1,73,0,26,0,0,0.01
CL-d5-XX-d5-XX-CL.TE,www.uyghurnet.org/,1,76,0,23,0,0,0.01
TE-97-XX-97-XX-TE.CL,www.uyghurnet.org/,1,74,0,25,0,0,0.01
CL-XX-XX-05-05-CL.TE,freetibet.org/,1,79,0,20,0,0,0.01
CL-12-XX-12-XX-CL.TE,www.uyghurnet.org/,1,71,0,28,0,0,0.01
CL-18-XX-18-XX-CL.TE,www.uyghurnet.org/,1,74,0,25,0,0,0.01
CL-ae-XX-XX-ae-CL.TE,www.uyghurnet.org/,1,77,0,22,0,0,0.01
CL-XX-1e-XX-1e-CL.TE,www.uyghurnet.org/,1,67,0,32,0,0,0.01
CL-fe-fe-XX-XX-CL.TE,www.uyghurnet.org/,1,77,0,22,0,0,0.01
CL-vertprefix1-CL.TE,freetibet.org/,1,70,0,29,0,0,0.01
CL-XX-XX-07-07-CL.TE,freetibet.org/,1,76,0,23,0,0,0.01
TE-98-98-XX-XX-TE.CL,www.uyghurnet.org/,1,66,0,33,0,0,0.01
TE-b9-XX-b9-XX-TE.CL,freetibet.org/,1,76,0,23,0,0,0.01
TE-bc-bc-XX-XX-TE.CL,freetibet.org/,1,77,0,22,0,0,0.01
TE-a3-a3-XX-XX-TE.CL,www.uyghurnet.org/,1,72,0,27,0,0,0.01
TE-XX-a3-XX-a3-TE.CL,freetibet.org/,1,67,0,32,0,0,0.01
CL-tabprefix2-CL.TE,www.uyghurnet.org/,1,71,0,28,0,0,0.01
TE-8a-8a-XX-XX-TE.CL,freetibet.org/,1,76,0,23,0,0,0.01
TE-XX-a0-XX-a0-TE.CL,freetibet.org/,1,71,0,28,0,0,0.01
TE-XX-08-XX-08-TE.CL,freetibet.org/,1,73,0,26,0,0,0.01
CL-XX-a5-XX-a5-CL.TE,freetibet.org/,1,69,0,30,0,0,0.01
TE-8a-XX-XX-8a-TE.CL,www.uyghurnet.org/,1,76,0,23,0,0,0.01
CL-XX-bf-XX-bf-CL.TE,www.uyghurnet.org/,1,68,0,31,0,0,0.01
CL-XX-0d-XX-0d-CL.TE,freetibet.org/,1,73,0,26,0,0,0.01
TE-aa-XX-XX-aa-TE.CL,freetibet.org/,1,79,0,20,0,0,0.01
TE-a1-XX-XX-a1-TE.CL,www.uyghurnet.org/,1,75,0,24,0,0,0.01
TE-d4-XX-d4-XX-TE.CL,www.uyghurnet.org/,1,70,0,29,0,0,0.01
CL-07-07-XX-XX-CL.TE,freetibet.org/,1,73,0,26,0,0,0.01
CL-c1-XX-c1-XX-CL.TE,freetibet.org/,1,78,0,21,0,0,0.01
CL-XX-XX-df-df-CL.TE,www.uyghurnet.org/,1,72,0,27,0,0,0.01
TE-XX-ea-ea-XX-TE.CL,freetibet.org/,1,71,0,28,0,0,0.01
CL-XX-80-XX-80-CL.TE,freetibet.org/,1,74,0,25,0,0,0.01
